request_id,model_id,model_name,transcription,url
65030deb-e077-47d2-a9d4-a4c4e880c750,fal-ai/veo3.1/fast/image-to-video,,,https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/requests/c66d8611-1ce3-437a-a6a0-c4f29dd77c34/playground?requestId=65030deb-e077-47d2-a9d4-a4c4e880c750
96235e42-71db-4226-acaf-fda364aa5d27,fal-ai/whisper,Whisper Speech to Text,"Des heures à personnaliser chaque lettre de motivation et au final, zéro retour.",https://fal.ai/models/fal-ai/whisper/playground?requestId=96235e42-71db-4226-acaf-fda364aa5d27
e3079594-5c28-4626-8257-6fb6aa45b551,fal-ai/whisper,Whisper Speech to Text,"Maintenant j'ai trois fois plus d'entretien, teste par toi-même, le lien est en bio.",https://fal.ai/models/fal-ai/whisper/playground?requestId=e3079594-5c28-4626-8257-6fb6aa45b551
9e399605-ff34-4c8f-a885-517491d35305,fal-ai/whisper,Whisper Speech to Text,jusqu'à ce que je découvre Candy Jobs qui envoie 300 candidatures personnalisées en 5 minutes.,https://fal.ai/models/fal-ai/whisper/playground?requestId=9e399605-ff34-4c8f-a885-517491d35305
729999a8-f564-470e-93d7-e2ca8eddc1e3,fal-ai/whisper,Whisper Speech to Text,"Des heures à personnaliser chaque lettre de motivation et au final, zéro retour.",https://fal.ai/models/fal-ai/whisper/playground?requestId=729999a8-f564-470e-93d7-e2ca8eddc1e3
7debae44-1143-4768-aab3-341bf88dbd77,fal-ai/whisper,Whisper Speech to Text,J'en avais marre de passer mes journées à envoyer des candidatures pour rien.,https://fal.ai/models/fal-ai/whisper/playground?requestId=7debae44-1143-4768-aab3-341bf88dbd77
70a4474c-dcd4-4e5b-89b7-1616c90a29c2,fal-ai/nano-banana-pro/edit,Nano Banana Pro Image to Image,,https://fal.ai/models/fal-ai/nano-banana-pro/edit/playground?requestId=70a4474c-dcd4-4e5b-89b7-1616c90a29c2
14624c3d-40f0-41d6-a3b0-1025a2da2cee,fal-ai/nano-banana-pro/edit,Nano Banana Pro Image to Image,,https://fal.ai/models/fal-ai/nano-banana-pro/edit/playground?requestId=14624c3d-40f0-41d6-a3b0-1025a2da2cee
31c9a096-8e44-4144-a511-f62d88e288cc,fal-ai/nano-banana-pro/edit,Nano Banana Pro Image to Image,,https://fal.ai/models/fal-ai/nano-banana-pro/edit/playground?requestId=31c9a096-8e44-4144-a511-f62d88e288cc
713a011d-8138-469c-9934-3ac55ee700a5,fal-ai/nano-banana-pro/edit,Nano Banana Pro Image to Image,,https://fal.ai/models/fal-ai/nano-banana-pro/edit/playground?requestId=713a011d-8138-469c-9934-3ac55ee700a5
9d5d244e-0d23-40a8-847a-9f8d66e29484,fal-ai/nano-banana-pro/edit,Nano Banana Pro Image to Image,,https://fal.ai/models/fal-ai/nano-banana-pro/edit/playground?requestId=9d5d244e-0d23-40a8-847a-9f8d66e29484
a0f0c8d0-42a8-4393-883f-c97094b46e2e,fal-ai/nano-banana-pro/edit,Nano Banana Pro Image to Image,,https://fal.ai/models/fal-ai/nano-banana-pro/edit/playground?requestId=a0f0c8d0-42a8-4393-883f-c97094b46e2e
6a5b5820-b235-4083-b990-7e5a033ec13e,fal-ai/whisper,Whisper Speech to Text,je galérais à postuler sur Indeed et LinkedIn sans jamais avoir de réponse.,https://fal.ai/models/fal-ai/whisper/playground?requestId=6a5b5820-b235-4083-b990-7e5a033ec13e
5cd9f42f-bcb0-499e-b138-096260012e74,fal-ai/elevenlabs/sound-effects/v2,Elevenlabs Text to Audio,,https://fal.ai/models/fal-ai/elevenlabs/sound-effects/v2/playground?requestId=5cd9f42f-bcb0-499e-b138-096260012e74
c3e3555a-74d5-4282-a9e6-52e6663793bb,fal-ai/elevenlabs/sound-effects/v2,Elevenlabs Text to Audio,,https://fal.ai/models/fal-ai/elevenlabs/sound-effects/v2/playground?requestId=c3e3555a-74d5-4282-a9e6-52e6663793bb
d4c8c491-99f8-48e3-a2a5-2621f51e2d6d,fal-ai/elevenlabs/sound-effects/v2,Elevenlabs Text to Audio,,https://fal.ai/models/fal-ai/elevenlabs/sound-effects/v2/playground?requestId=d4c8c491-99f8-48e3-a2a5-2621f51e2d6d
1f82bc98-5f34-4adf-8d42-e533403025d9,Resemble-AI/ChatterboxHD/speech-to-speech,Chatterboxhd Speech to Speech,,https://fal.ai/models/Resemble-AI/ChatterboxHD/speech-to-speech/playground?requestId=1f82bc98-5f34-4adf-8d42-e533403025d9
e0037fa6-93d3-413c-9a89-7c1234e27452,Resemble-AI/ChatterboxHD/speech-to-speech,Chatterboxhd Speech to Speech,,https://fal.ai/models/Resemble-AI/ChatterboxHD/speech-to-speech/playground?requestId=e0037fa6-93d3-413c-9a89-7c1234e27452
38df728e-0604-4762-8253-221c059379ed,fal-ai/elevenlabs/sound-effects/v2,Elevenlabs Text to Audio,,https://fal.ai/models/fal-ai/elevenlabs/sound-effects/v2/playground?requestId=38df728e-0604-4762-8253-221c059379ed
c155df12-d34e-4cd8-b5f2-a8fa18b38d92,Resemble-AI/ChatterboxHD/speech-to-speech,Chatterboxhd Speech to Speech,,https://fal.ai/models/Resemble-AI/ChatterboxHD/speech-to-speech/playground?requestId=c155df12-d34e-4cd8-b5f2-a8fa18b38d92
285e56c5-3910-41e4-a98d-b57ba500f9ca,fal-ai/elevenlabs/sound-effects/v2,Elevenlabs Text to Audio,,https://fal.ai/models/fal-ai/elevenlabs/sound-effects/v2/playground?requestId=285e56c5-3910-41e4-a98d-b57ba500f9ca
3b53bcb5-2dde-40a7-b2fa-8bcb2be61899,Resemble-AI/ChatterboxHD/speech-to-speech,Chatterboxhd Speech to Speech,,https://fal.ai/models/Resemble-AI/ChatterboxHD/speech-to-speech/playground?requestId=3b53bcb5-2dde-40a7-b2fa-8bcb2be61899
d02168ad-8d73-4136-90a7-10af531df91b,Resemble-AI/ChatterboxHD/speech-to-speech,Chatterboxhd Speech to Speech,,https://fal.ai/models/Resemble-AI/ChatterboxHD/speech-to-speech/playground?requestId=d02168ad-8d73-4136-90a7-10af531df91b
ceda6acd-6304-4df3-9861-4ff84e7a3bf6,fal-ai/whisper,Whisper Speech to Text,"Puis, j'ai découvert Candy Jobs, qui envoie 300 candidatures ciblées en 5 minutes.",https://fal.ai/models/fal-ai/whisper/playground?requestId=ceda6acd-6304-4df3-9861-4ff84e7a3bf6
1388839b-5544-4205-8590-498ebf9fdc42,fal-ai/whisper,Whisper Speech to Text,Des heures passées à personnaliser mes candidatures pour rien du tout.,https://fal.ai/models/fal-ai/whisper/playground?requestId=1388839b-5544-4205-8590-498ebf9fdc42
58928824-c80a-480c-8211-bbd8f36f4f29,fal-ai/whisper,Whisper Speech to Text,je galérais à postuler sur Indeed et LinkedIn sans jamais avoir de réponse.,https://fal.ai/models/fal-ai/whisper/playground?requestId=58928824-c80a-480c-8211-bbd8f36f4f29
4ef1042f-451d-4951-ac10-b25c0f737796,fal-ai/whisper,Whisper Speech to Text,J'ai eu plus d'entretiens en une semaine qu'en trois mois avant.,https://fal.ai/models/fal-ai/whisper/playground?requestId=4ef1042f-451d-4951-ac10-b25c0f737796
c66d8611-1ce3-437a-a6a0-c4f29dd77c34,fal-ai/veo3.1/fast/image-to-video,Veo 3.1 Fast Image to Video,,https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/playground?requestId=c66d8611-1ce3-437a-a6a0-c4f29dd77c34
c80684ce-d385-425e-b623-a8ce3abb80cb,fal-ai/veo3.1/fast/image-to-video,Veo 3.1 Fast Image to Video,,https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/playground?requestId=c80684ce-d385-425e-b623-a8ce3abb80cb
20094d35-8b53-449a-a78e-0bd5b27b76c9,fal-ai/veo3.1/fast/image-to-video,Veo 3.1 Fast Image to Video,,https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/playground?requestId=20094d35-8b53-449a-a78e-0bd5b27b76c9
aa145fed-7a1a-42b1-aee1-2b268fff6243,fal-ai/whisper,Whisper Speech to Text,Le lien est en bio si vous cherchez du travail.,https://fal.ai/models/fal-ai/whisper/playground?requestId=aa145fed-7a1a-42b1-aee1-2b268fff6243
9cab2b2d-2695-4295-b21c-ee07bb1a504a,fal-ai/veo3.1/fast/image-to-video,Veo 3.1 Fast Image to Video,,https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/playground?requestId=9cab2b2d-2695-4295-b21c-ee07bb1a504a
1aedf2c1-739d-4a64-9e1e-894654c91279,fal-ai/veo3.1/fast/image-to-video,Veo 3.1 Fast Image to Video,,https://fal.ai/models/fal-ai/veo3.1/fast/image-to-video/playground?requestId=1aedf2c1-739d-4a64-9e1e-894654c91279
